spot,pays,region,type,hauteur,orientation,nombre de voies,cotations
Mont Aiguille,France,Isère,Falaise,150 m à 320 m,NC,37,De PD à ED+
Mont-Dauphin,France,Hautes-Alpes,Falaise,40m,Est,60 voies,De 6a à 8a+
Mouriès,France,Bouches-du-Rhône,Falaise,20 à 35 m,"Sud, Nord",Plus de 200 voies,De 3a à 8b
Notre-Dame du Cros,France,Aude,Falaise,85 m,"Ouest, Sud-Est",120 voies,De 4a à 7c+
Omblèze,France,Drôme,Falaise,15 à 200 m,"Sud, Sud-Est",500 voies,De 3a à 9a
Orgon,France,Bouches-du-Rhône,Falaise,35 à 75 m,"Est, Nord-Est",350 voies,De 3b à 9a
Orlu,France,Ariège,Bloc,8 à 9 m,Toutes,Plus de 50 passages,De 4c à 8a
Orpierre,France,Hautes-Alpes,Falaise,190 m,Toutes,500 voies,De 3a à 8c
Peillon,France,Alpes-Maritimes,Falaise,80 m,"Sud, Sud-Est",100 voies,De 4c à 8c
Pen-Hir,France,Finistère,Falaise,80 m,Ouest,Au moins 130,De 3c à 6a
Pène Haute,France,Hautes-Pyrénées,Falaise,50 à 100 m,"Est, Sud",200 voies,De 4c à 8a
Pic de Bure,France,Hautes-Alpes,Falaise,600 m,Est,21,De 4b à 6b
Pic du Perthus,France,Vaucluse,Falaise,50 à 80 m,"Est, Sud-Est",10 voies,De 5c à 6b+
Pic Saint-Loup,France,Hérault,Falaise,40 m,Nord,30 voies,De 7a à 9a
Pierre-Lys,France,Aude,Falaise,300 m,Ouest,une centaine,De 4a à 8a
Ploumanac’h,France,Côtes-d’Armor,Bloc,10 à 11 m,Toutes,Environ 110 passages,De 5b à 8a
Pont d'Espagne,France,Hautes-Pyrénées,Falaise,10 à 25 m,Toutes,60 voies,De 3b à 8a
Pont de Camps,France,Pyrénées-Atlantiques,Bloc,8 m,Toutes,170 passages,De 3a à 7c
Pont Saint Nicolas,France,Gard,Falaise,15 m,Sud-Est,55 voies,De 4b à 8b
Presles,France,Isère,Falaise,35 à 300 m,Sud,300 voies,De 4a+ à 8b
Punta di Capineru (Pianotolli di Caldarello),France,Corse-du-Sud,Bloc,4 à 5 m,Toutes,Beaucoup,De 3a à 7c+
Puy-Saint-Vincent,France,Hautes-Alpes,Falaise,40m,Nord,45 Voies,De 6b+ à 8b+
Quinson (Verdon),France,Alpes-de-Haute-Provence,Falaise,35 m,Sud-Ouest,210 voies,De 3b à 8b
Red River Gorge,États Unis,,Falaise,NC,NC,Des milliers,De NC à NC
Rioupéroux,France,Isère,Bloc,8 m,Toutes,500 pasages,De 3+ à 8c
Rochefort-du-Gard,France,Gard,Falaise,10 à 40 m,Toutes,130 voies,De 3b à 7a+
Rocher du Midi,France,Isère,Falaise,300 m,Est,20 voies,De 6c à 8b
Rocher du Saint-Julien (Buis-Les-Baronnies),France,Drôme,Falaise,125 m,"Sud-Ouest, Sud, Nord",260 voies,De 3b+ à 7b
Romeyer,France,Drôme,Falaise,25 et 50 m,"Ouest, Sud-Ouest",120 voies,De 4c à 8c
Rurey,France,Doubs,Falaise,25 à 30 m,Toutes,une centaine,De 4c à 8c
Russan,France,Gard,Falaise,45 m,"Sud-Ouest, Sud, Sud-Est",200 voies,De 4b à 8c
Saint Mihiel,France,Meuse,Falaise,10 à 30 m,Ouest,60 voies,De 4a à 8c+
Saint Pancrasse,France,Isère,Falaise,20 à 25 m,"Sud, Sud-Est",250 voies,De 4c à 8c
Saint-Antonin-Noble-Val (Le Capucin),France,Tarn-et-Garonne,Falaise,80 m,"Sud-Est, Sud",210 voies,De 4c à 8b
Saint-Bauzille de Montmel,France,Hérault,Falaise,25 m,Sud,215 voies,De 3a à 8b+
Saint-Cézaire,France,Alpes-Maritimes,Falaise,35 m,"Ouest, Sud, Nord",100 voies,De 5b à 8b
Saint-Florent,France,Haute-Corse,Falaise,20 à 25 m,"Nord, Est",7 voies,De 6c à 8b
Saint-Géry,France,Lot,Falaise,20 à 55 m,Sud-Est,100 voies,De 4c à 8c
Saint-Guilhem-le-Désert,France,Hérault,Falaise,200 m,"Nord, Sud-Est",Une centaine,De 5c à 8c+
Saint-Jean de Buèges,France,Hérault,Falaise,80 m,"Ouest, Sud",30 voies,De 5c à 7b
Saint-Léger du Ventoux,France,Vaucluse,Falaise,40 m,Toutes,500 voies,De 6a à 8c
Saint-Sauves,France,Auvergne,Falaise,20 à 30 m,Toutes,39 voies,De 5c à 8b+
Sainte-Croix,France,Drôme,Falaise,20 m,Sud,25 voies,De 7a à 8b
Sainte-Victoire,France,Bouches-du-Rhône,Falaise,40 m,"Ouest, Sud-Ouest",200 voies,De 3b à 9a+
Saoû,France,Drôme,Falaise,30 à 300 m,Toutes,750 voies,De 3b à 8b
Serre Châtelard,France,Drôme,Falaise,110 à 180 m,Sud-Est,30,De NC à NC
Seynes,France,Gard,Falaise,20 à 40 m,Sud,300 voies,De 3b à 8c
Siurana,Espagne,,Falaise,90 m,Toutes,900 voies,De 4a à 9b
Smith Rock,États Unis,,Falaise,111 m,Toutes,1000 voies,De Tous niveaux à NC
Suberpène,France,Hautes-Pyrénées,Falaise,40 à 200 m,Sud,150 voies,De 5a à 8b
Suesca,Colombie,,Falaise,NC,Toutes,200 voies,De 4 à 8b+
Taghia,Maroc,,Falaise,Jusqu'à 800 m,Toutes,100 voies,De 6a à 8b
Targasonne,France,Pyrénées-Orientales,Bloc,10 m,Toutes,400 passages,De 4+ à 6b
Tautavel,France,Pyrénées-Atlantiques,Falaise,20 m,"Ouest, Sud-Est, Est",300 voies,De 3a à 8b
Tournoux,France,Hautes-Alpes,Falaise,40 m,"Sud, Nord",100 voies,De 4c à 8c
Tousaus,France,Hautes-Pyrénées,Falaise,20 à 35 m,Nord,30 voies,De 6c à 8b
Trenze,France,Lozère,Falaise,entre 15 et 200 m,"sud, sud-ouest",32,De 3c à 7b
Troubat,France,Hautes-Pyrénées,Falaise,30 à 35 m,"Sud, Sud-Ouest",80 couennes,De 4b à 8b+
Tsaranoro,Madagascar,,Falaise,jusqu'à 100 m,Sud,100 voies,De 3a à 8b
Valdu Di Saltu,France,Corse-du-Sud,Bloc,7 m,Toutes,300 voies,De 4c à 7b
Valgorge,France,Ardèche,Bloc,5 m,Toutes,60,De 4+ à 8a+
Valjouffrey,France,Isère,Bloc,7 m,Toutes,50,De 2 à 7c
Vallouise - Falaise de la gorge,France,Hautes-Alpes,Falaise,30m,Nord-Est,22 voies,De 6a à 7c
Venasque,France,Vaucluse,Falaise,NC,Toutes,400 voies,De 5b à 8a
Vingrau,France,Pyrénées-Orientales,Falaise,20 à 120 m,Ouest,300 voies,De 4a à 8a
Zillertal,Autriche,,Falaise,NC,Toutes,Un millier de voies,De 4a à 8c
